Date,Open,High,Low,Close,Volume,AdjClose
2014-12-31,112.82,113.129997,110.209999,110.379997,41403400,108.99538
2014-12-30,113.639999,113.919998,112.110001,112.519997,29881500,111.108535
2014-12-29,113.790001,114.769997,113.699997,113.910004,27598900,112.481106
2014-12-26,112.099998,114.519997,112.010002,113.989998,33721000,112.560096
2014-12-24,112.580002,112.709999,112.010002,112.010002,14479600,110.604938
2014-12-23,113.230003,113.330002,112.459999,112.540001,26028400,111.128288
2014-12-22,112.160004,113.489998,111.970001,112.940002,45167500,111.523272
2014-12-19,112.260002,113.239998,111.660004,111.779999,88429800,110.37782
2014-12-18,111.870003,112.650002,110.660004,112.650002,59006200,111.236909
2014-12-17,107.120003,109.839996,106.82,109.410004,53411800,108.037554
2014-12-16,106.370003,110.160004,106.260002,106.75,60790700,105.410918
2014-12-15,110.699997,111.599998,106.349998,108.230003,67218100,106.872356
2014-12-12,110.459999,111.870003,109.580002,109.730003,56028100,108.35354
2014-12-11,112.260002,113.800003,111.339996,111.620003,41401700,110.219831
2014-12-10,114.410004,114.849998,111.540001,111.949997,44565300,110.545685
2014-12-09,110.190002,114.300003,109.349998,114.120003,60208000,112.688471
2014-12-08,114.099998,114.650002,111.620003,112.400002,57664900,110.990045
2014-12-05,115.989998,116.080002,114.639999,115.00,38318900,113.557429
2014-12-04,115.769997,117.199997,115.290001,115.489998,42044500,114.04128
2014-12-03,115.75,116.349998,115.110001,115.93,43063400,114.475763
2014-12-02,113.50,115.75,112.75,114.629997,59348900,113.192068
2014-12-01,118.809998,119.25,111.269997,115.07,83814000,113.626551
2014-11-28,119.269997,119.400002,118.050003,118.93,24814400,117.438131
2014-11-26,117.940002,119.099998,117.830002,119.00,40768300,117.507253
2014-11-25,119.07,119.75,117.449997,117.599998,68840400,116.124813
2014-11-24,116.849998,118.769997,116.620003,118.629997,47450800,117.141891
2014-11-21,117.510002,117.57,116.029999,116.470001,57179300,115.00899
2014-11-20,114.910004,116.860001,114.849998,116.309998,43395500,114.850994
2014-11-19,115.440002,115.739998,113.800003,114.669998,41869200,113.231567
2014-11-18,113.940002,115.690002,113.889999,115.470001,44224000,114.021534
2014-11-17,114.269997,117.279999,113.300003,113.989998,46746700,112.560096
2014-11-14,113.150002,114.190002,111.209999,114.18,44063600,112.747715
2014-11-13,111.800003,113.449997,111.599998,112.82,59522900,111.404775
2014-11-12,109.379997,111.43,109.370003,111.25,46942400,109.854469
2014-11-11,108.699997,109.75,108.400002,109.699997,27442300,108.32391
2014-11-10,109.019997,109.330002,108.669998,108.830002,27195500,107.464828
2014-11-07,108.75,109.32,108.550003,109.010002,33691500,107.64257
2014-11-06,108.599998,108.790001,107.800003,108.699997,34968500,107.336454
2014-11-05,109.099998,109.300003,108.129997,108.860001,37435900,107.03035
2014-11-04,109.360001,109.489998,107.720001,108.599998,41574400,106.774717
2014-11-03,108.220001,110.300003,108.010002,109.400002,52282600,107.561274
2014-10-31,108.010002,108.040001,107.209999,108.00,44639300,106.184803
2014-10-30,106.959999,107.349998,105.900002,106.980003,40654800,105.18195
2014-10-29,106.650002,107.370003,106.360001,107.339996,52687900,105.535893
2014-10-28,105.400002,106.739998,105.349998,106.739998,48060900,104.945978
2014-10-27,104.849998,105.480003,104.699997,105.110001,34187700,103.343377
2014-10-24,105.18,105.489998,104.529999,105.220001,47053900,103.451529
